               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.038292,           0.0061993,           0.0040241,             0.75494,             0.75478,              0.7925,             0.37869,            0.042327,           0.0028122,           0.0033689,            0.008416,            0.008416,            0.008416
                  82,            0.045688,           0.0059309,            0.006573,             0.74211,             0.78834,              0.8836,             0.56969,            0.034924,           0.0028818,              0.0033,           0.0083962,           0.0083962,           0.0083962
                  83,            0.041289,           0.0056402,           0.0038054,             0.70977,             0.84671,             0.87723,             0.41199,             0.03934,           0.0027749,           0.0032691,           0.0083764,           0.0083764,           0.0083764
                  84,            0.041847,           0.0055435,           0.0037587,             0.90699,             0.82513,             0.94542,             0.61879,            0.034217,           0.0027737,           0.0032907,           0.0083566,           0.0083566,           0.0083566
                  85,            0.040455,           0.0049877,           0.0039534,             0.79613,             0.86078,              0.9175,             0.58714,            0.037633,           0.0027163,           0.0033805,           0.0083368,           0.0083368,           0.0083368
                  86,            0.044101,           0.0059482,           0.0055817,             0.77903,             0.90474,             0.88522,             0.52676,            0.039823,           0.0027351,           0.0034677,            0.008317,            0.008317,            0.008317
                  87,            0.041464,           0.0060535,            0.004045,             0.71978,             0.81499,             0.85138,             0.56405,            0.037466,           0.0027285,           0.0036466,           0.0082972,           0.0082972,           0.0082972
                  88,            0.039976,           0.0063312,            0.004431,             0.90745,             0.86061,             0.93114,             0.58692,            0.034982,           0.0027176,           0.0036619,           0.0082774,           0.0082774,           0.0082774
                  89,            0.040462,            0.005984,              0.0041,             0.84113,             0.81237,             0.91773,             0.50484,            0.043479,           0.0025881,           0.0036203,           0.0082576,           0.0082576,           0.0082576
                  90,             0.04154,           0.0059205,           0.0042694,              0.7608,             0.81749,             0.90411,              0.5982,            0.032331,           0.0026896,           0.0035855,           0.0082378,           0.0082378,           0.0082378
                  91,            0.036787,           0.0053929,           0.0047115,             0.84466,             0.74932,             0.88993,              0.5529,            0.036248,           0.0026547,            0.003408,            0.008218,            0.008218,            0.008218
                  92,            0.041121,           0.0049243,           0.0039895,             0.79155,             0.77004,             0.88448,               0.583,            0.039378,           0.0026386,           0.0033217,           0.0081982,           0.0081982,           0.0081982
                  93,            0.035411,           0.0058017,            0.003792,             0.88323,             0.69442,             0.89683,              0.5904,            0.035315,           0.0026652,           0.0031158,           0.0081784,           0.0081784,           0.0081784
                  94,            0.037454,           0.0056972,           0.0033882,             0.83405,             0.71293,             0.84993,             0.53216,            0.038143,           0.0025649,           0.0030863,           0.0081586,           0.0081586,           0.0081586
                  95,            0.038666,           0.0045661,           0.0035445,             0.85281,             0.68973,             0.80333,             0.47241,             0.04735,           0.0024381,           0.0030245,           0.0081388,           0.0081388,           0.0081388
                  96,            0.043426,           0.0063259,            0.003308,             0.80096,             0.82903,             0.89333,             0.60638,            0.033566,           0.0025855,           0.0030662,            0.008119,            0.008119,            0.008119
                  97,            0.035529,           0.0055465,           0.0036648,             0.98078,             0.69134,             0.90081,              0.6148,            0.034294,           0.0026229,           0.0031655,           0.0080992,           0.0080992,           0.0080992
                  98,            0.042162,           0.0058056,           0.0036244,             0.94378,             0.70119,             0.90311,             0.47762,            0.037405,           0.0025637,           0.0031848,           0.0080794,           0.0080794,           0.0080794
                  99,            0.040781,           0.0058251,             0.00353,             0.83746,             0.79202,             0.91313,             0.57902,            0.035536,           0.0025648,           0.0033122,           0.0080596,           0.0080596,           0.0080596
                 100,            0.037264,           0.0054896,           0.0039338,             0.91903,             0.75278,             0.92118,             0.57423,            0.034278,           0.0025497,           0.0032647,           0.0080398,           0.0080398,           0.0080398
                 101,             0.03609,           0.0056473,           0.0040613,             0.77016,             0.83265,             0.88595,             0.41467,            0.044281,           0.0024156,           0.0033236,             0.00802,             0.00802,             0.00802
                 102,            0.043222,           0.0054217,           0.0053406,              0.8451,             0.87895,             0.92863,             0.60244,            0.034375,           0.0025061,           0.0033091,           0.0080002,           0.0080002,           0.0080002
                 103,            0.037004,           0.0051409,           0.0042207,             0.80688,             0.82454,             0.88961,             0.53012,            0.037144,           0.0025202,           0.0032707,           0.0079804,           0.0079804,           0.0079804
                 104,            0.037842,           0.0049392,           0.0034082,             0.91148,             0.85317,             0.93591,             0.59561,            0.031308,           0.0025896,            0.003215,           0.0079606,           0.0079606,           0.0079606
                 105,            0.035767,           0.0051512,           0.0034484,             0.85819,             0.81959,             0.91186,             0.57725,            0.035573,           0.0025608,            0.003209,           0.0079408,           0.0079408,           0.0079408
                 106,             0.03743,           0.0051464,            0.004329,             0.95175,             0.87097,              0.9483,             0.64401,            0.031671,           0.0025778,           0.0031962,            0.007921,            0.007921,            0.007921
                 107,            0.034223,           0.0054835,            0.003802,             0.79769,             0.87097,             0.90022,             0.60016,             0.03379,           0.0025062,           0.0030702,           0.0079012,           0.0079012,           0.0079012
                 108,            0.038192,           0.0056506,           0.0039342,             0.85487,             0.88382,             0.92483,             0.64332,            0.031286,           0.0025049,            0.003054,           0.0078814,           0.0078814,           0.0078814
                 109,            0.037848,           0.0051857,           0.0038445,             0.86686,             0.83871,             0.90883,             0.66442,            0.029299,           0.0024933,           0.0030102,           0.0078616,           0.0078616,           0.0078616
                 110,            0.037416,           0.0050831,            0.004323,             0.79362,             0.83871,             0.89023,             0.56572,            0.036863,           0.0024236,           0.0030476,           0.0078418,           0.0078418,           0.0078418
                 111,            0.036041,           0.0052866,           0.0033717,             0.91618,             0.82258,             0.91435,             0.55076,            0.035118,           0.0024478,           0.0031198,            0.007822,            0.007822,            0.007822
                 112,             0.03859,            0.005041,           0.0033941,             0.92379,             0.82762,             0.93081,             0.64419,            0.029621,           0.0024794,           0.0031254,           0.0078022,           0.0078022,           0.0078022
                 113,             0.03497,           0.0042469,           0.0035495,              0.8164,             0.84366,             0.89417,             0.60546,             0.03278,           0.0024695,           0.0031897,           0.0077824,           0.0077824,           0.0077824
                 114,            0.035145,           0.0048161,           0.0039411,             0.88976,             0.83871,             0.91943,             0.61704,            0.030845,           0.0024089,           0.0032407,           0.0077626,           0.0077626,           0.0077626
                 115,            0.032929,           0.0046656,           0.0038974,             0.92879,               0.863,              0.9486,             0.64405,            0.033298,           0.0022951,           0.0031974,           0.0077428,           0.0077428,           0.0077428
                 116,            0.038187,           0.0056693,           0.0035381,             0.74061,             0.85229,             0.86528,             0.58106,            0.032907,           0.0023352,           0.0031895,            0.007723,            0.007723,            0.007723
                 117,            0.037383,           0.0049179,           0.0037672,             0.86822,             0.82993,             0.91971,             0.58077,            0.033017,           0.0022963,           0.0032216,           0.0077032,           0.0077032,           0.0077032
                 118,            0.035908,           0.0047722,            0.005006,             0.93071,             0.82899,             0.96826,             0.64574,            0.028948,           0.0023197,           0.0032817,           0.0076834,           0.0076834,           0.0076834
                 119,            0.033426,           0.0050601,           0.0035745,             0.73947,             0.95044,             0.92618,             0.59591,            0.034318,           0.0022518,           0.0032075,           0.0076636,           0.0076636,           0.0076636
                 120,            0.039291,            0.004206,           0.0038105,             0.85603,             0.95959,             0.96474,             0.67327,            0.028685,           0.0022594,           0.0031751,           0.0076438,           0.0076438,           0.0076438
                 121,            0.035993,           0.0047962,           0.0046023,              0.9368,             0.95395,             0.99109,             0.73755,            0.025032,           0.0022508,           0.0031107,            0.007624,            0.007624,            0.007624
                 122,            0.036166,           0.0046348,           0.0032722,              0.9069,             0.93548,             0.97424,             0.62569,            0.037147,           0.0022094,           0.0030147,           0.0076042,           0.0076042,           0.0076042
                 123,            0.037506,            0.005036,           0.0030927,             0.91537,             0.93548,             0.97456,             0.65957,             0.03049,           0.0022216,           0.0029696,           0.0075844,           0.0075844,           0.0075844
                 124,            0.036397,           0.0045196,           0.0029351,             0.88481,             0.93548,             0.96951,             0.63716,            0.029868,           0.0022214,           0.0029724,           0.0075646,           0.0075646,           0.0075646
                 125,             0.03517,           0.0049548,           0.0042003,             0.88497,             0.88632,             0.94765,             0.68568,            0.031627,           0.0022399,           0.0029565,           0.0075448,           0.0075448,           0.0075448
                 126,            0.035726,           0.0049636,           0.0035392,             0.93754,             0.88626,             0.95577,             0.64065,            0.029467,           0.0022392,           0.0029524,            0.007525,            0.007525,            0.007525
                 127,            0.033859,           0.0041902,           0.0031733,             0.99065,             0.89757,             0.97058,             0.55284,            0.039066,           0.0021296,           0.0029086,           0.0075052,           0.0075052,           0.0075052
                 128,            0.037003,           0.0048206,           0.0031998,             0.86484,             0.87097,             0.93479,             0.64999,            0.029553,           0.0021169,           0.0028916,           0.0074854,           0.0074854,           0.0074854
                 129,            0.031344,           0.0049508,           0.0036067,             0.86507,             0.90038,             0.93285,              0.6045,            0.032309,           0.0020484,           0.0028523,           0.0074656,           0.0074656,           0.0074656
                 130,            0.033428,           0.0039757,           0.0029621,             0.94493,             0.90323,             0.97178,             0.67064,              0.0316,           0.0020177,           0.0028649,           0.0074458,           0.0074458,           0.0074458
                 131,            0.034224,           0.0043367,           0.0032552,             0.92015,             0.90323,             0.97986,             0.65886,            0.028418,           0.0019958,           0.0028335,            0.007426,            0.007426,            0.007426
                 132,            0.033297,           0.0049919,           0.0030077,              0.9142,             0.91534,             0.96668,             0.67908,            0.028943,           0.0019742,           0.0028199,           0.0074062,           0.0074062,           0.0074062
                 133,            0.031891,           0.0040859,           0.0029384,             0.89667,             0.91392,             0.95576,             0.56621,            0.031633,           0.0019926,           0.0028072,           0.0073864,           0.0073864,           0.0073864
                 134,            0.036554,           0.0043808,           0.0029667,             0.90145,             0.96146,             0.97103,             0.66162,            0.030211,           0.0019755,           0.0028112,           0.0073666,           0.0073666,           0.0073666
                 135,            0.029536,           0.0039771,           0.0032678,             0.82453,             0.85059,             0.92411,             0.56954,            0.033962,           0.0019595,           0.0027743,           0.0073468,           0.0073468,           0.0073468
                 136,            0.036214,           0.0046654,           0.0031269,             0.94946,              0.9024,             0.96524,             0.65401,            0.028904,           0.0019464,           0.0027585,            0.007327,            0.007327,            0.007327
                 137,             0.03151,            0.004934,           0.0036278,             0.90228,             0.93548,             0.98025,             0.69126,            0.028218,           0.0019332,           0.0027428,           0.0073072,           0.0073072,           0.0073072
                 138,            0.034297,           0.0045788,            0.002977,             0.98044,             0.91602,             0.97142,             0.63973,            0.030286,           0.0019379,           0.0027143,           0.0072874,           0.0072874,           0.0072874
                 139,            0.034183,           0.0039379,           0.0026517,             0.97313,             0.90323,             0.97835,             0.73995,            0.029271,           0.0019046,           0.0026906,           0.0072676,           0.0072676,           0.0072676
                 140,            0.035439,           0.0042365,           0.0029573,             0.90006,             0.90323,             0.95736,             0.66916,            0.030617,           0.0018802,           0.0026946,           0.0072478,           0.0072478,           0.0072478
                 141,             0.03419,           0.0044339,           0.0032362,             0.88149,             0.90323,             0.94881,             0.67092,            0.032399,           0.0018845,           0.0027468,            0.007228,            0.007228,            0.007228
                 142,            0.035309,           0.0042059,           0.0029332,             0.99224,             0.90969,             0.98578,             0.67752,            0.027627,           0.0019048,           0.0027805,           0.0072082,           0.0072082,           0.0072082
